table_name	file_path	statement_total	drop_count	create_count	insert_count	alter_count	other_count	file_size_bytes
_global	_global.sql	1632	0	0	0	0	1632	35747
g5_agency	tables/g5_agency.sql	6	1	1	2	2	0	95684
g5_auth	tables/g5_auth.sql	3	1	1	0	1	0	296
g5_autosave	tables/g5_autosave.sql	81	1	1	77	2	0	4177664
g5_banner	tables/g5_banner.sql	5	1	1	1	2	0	9498
g5_banner2	tables/g5_banner2.sql	5	1	1	1	2	0	11603
g5_banner_new	tables/g5_banner_new.sql	6	1	1	2	2	0	79393
g5_board	tables/g5_board.sql	4	1	1	1	1	0	50667
g5_board_file	tables/g5_board_file.sql	50	1	1	47	1	0	2445560
g5_board_good	tables/g5_board_good.sql	4	1	1	0	2	0	568
g5_board_new	tables/g5_board_new.sql	6	1	1	2	2	0	93525
g5_casting	tables/g5_casting.sql	5	1	1	1	2	0	6379
g5_cert_history	tables/g5_cert_history.sql	4	1	1	0	2	0	588
g5_class	tables/g5_class.sql	5	1	1	1	2	0	70535
g5_class2	tables/g5_class2.sql	10	1	1	6	2	0	327034
g5_class_bak	tables/g5_class_bak.sql	6	1	1	2	2	0	116618
g5_config	tables/g5_config.sql	3	1	1	1	0	0	23095
g5_content	tables/g5_content.sql	5	1	1	2	1	0	100328
g5_content2	tables/g5_content2.sql	12	1	1	9	1	0	554259
g5_content2_bak	tables/g5_content2_bak.sql	12	1	1	9	1	0	509481
g5_faq	tables/g5_faq.sql	4	1	1	0	2	0	417
g5_faq_master	tables/g5_faq_master.sql	5	1	1	1	2	0	725
g5_group	tables/g5_group.sql	4	1	1	1	1	0	2211
g5_group_member	tables/g5_group_member.sql	4	1	1	0	2	0	491
g5_lesson_teacher	tables/g5_lesson_teacher.sql	7	1	1	3	2	0	320301
g5_login	tables/g5_login.sql	4	1	1	1	1	0	9032
g5_mail	tables/g5_mail.sql	4	1	1	0	2	0	473
g5_mainimg	tables/g5_mainimg.sql	5	1	1	1	2	0	954
g5_manager	tables/g5_manager.sql	5	1	1	1	2	0	2631
g5_member	tables/g5_member.sql	9	1	1	5	2	0	258783
g5_memo	tables/g5_memo.sql	3	1	1	0	1	0	502
g5_menu	tables/g5_menu.sql	5	1	1	1	2	0	4100
g5_menu2	tables/g5_menu2.sql	5	1	1	1	2	0	4823
g5_month_plan	tables/g5_month_plan.sql	5	1	1	1	2	0	24814
g5_new_win	tables/g5_new_win.sql	5	1	1	1	2	0	2416
g5_plan	tables/g5_plan.sql	8	1	1	4	2	0	326166
g5_plan_category	tables/g5_plan_category.sql	3	1	1	1	0	0	1282
g5_point	tables/g5_point.sql	25	1	1	21	2	0	1105663
g5_poll	tables/g5_poll.sql	4	1	1	0	2	0	1339
g5_poll_etc	tables/g5_poll_etc.sql	3	1	1	0	1	0	440
g5_popular	tables/g5_popular.sql	6	1	1	2	2	0	83475
g5_qa_config	tables/g5_qa_config.sql	3	1	1	1	0	0	2596
g5_qa_content	tables/g5_qa_content.sql	4	1	1	0	2	0	1515
g5_scrap	tables/g5_scrap.sql	5	1	1	1	2	0	642
g5_sisul	tables/g5_sisul.sql	5	1	1	1	2	0	4273
g5_star	tables/g5_star.sql	5	1	1	1	2	0	8787
g5_teacher	tables/g5_teacher.sql	6	1	1	2	2	0	98947
g5_teacher2	tables/g5_teacher2.sql	8	1	1	4	2	0	204373
g5_teacher_file	tables/g5_teacher_file.sql	5	1	1	1	2	0	55488
g5_timetable	tables/g5_timetable.sql	5	1	1	1	2	0	5504
g5_timetable2	tables/g5_timetable2.sql	5	1	1	1	2	0	1997
g5_timetable2_notice	tables/g5_timetable2_notice.sql	5	1	1	1	2	0	822
g5_timetable_category	tables/g5_timetable_category.sql	5	1	1	1	2	0	579
g5_timetable_new	tables/g5_timetable_new.sql	5	1	1	1	2	0	9915
g5_timetable_notice	tables/g5_timetable_notice.sql	5	1	1	1	2	0	882
g5_uniqid	tables/g5_uniqid.sql	1299	1	1	1296	1	0	68517253
g5_visit	tables/g5_visit.sql	3315	1	1	3312	1	0	166828209
g5_visit_sum	tables/g5_visit_sum.sql	5	1	1	2	1	0	78652
g5_write_111	tables/g5_write_111.sql	5	1	1	1	2	0	2991
g5_write_222	tables/g5_write_222.sql	5	1	1	1	2	0	2953
g5_write_after	tables/g5_write_after.sql	24	1	1	20	2	0	1026407
g5_write_agency	tables/g5_write_agency.sql	6	1	1	2	2	0	65518
g5_write_agencyk	tables/g5_write_agencyk.sql	5	1	1	1	2	0	9126
g5_write_bebe	tables/g5_write_bebe.sql	40	1	1	36	2	0	1607120
g5_write_lineup	tables/g5_write_lineup.sql	5	1	1	1	2	0	43552
g5_write_movie	tables/g5_write_movie.sql	5	1	1	1	2	0	58505
g5_write_new_abio	tables/g5_write_new_abio.sql	4	1	1	0	2	0	1874
g5_write_new_appear	tables/g5_write_new_appear.sql	11	1	1	7	2	0	601281
g5_write_new_appear2	tables/g5_write_new_appear2.sql	6	1	1	2	2	0	149931
g5_write_new_appear3	tables/g5_write_new_appear3.sql	4	1	1	0	2	0	1858
g5_write_new_appear4	tables/g5_write_new_appear4.sql	4	1	1	0	2	0	1886
g5_write_new_appear_bak	tables/g5_write_new_appear_bak.sql	8	1	1	4	2	0	355793
g5_write_new_audition	tables/g5_write_new_audition.sql	180	1	1	176	2	0	9270851
g5_write_new_calendar02	tables/g5_write_new_calendar02.sql	23	1	1	19	2	0	1061078
g5_write_new_casting	tables/g5_write_new_casting.sql	5	1	1	1	2	0	15773
g5_write_new_casting2	tables/g5_write_new_casting2.sql	5	1	1	1	2	0	8753
g5_write_new_casting3	tables/g5_write_new_casting3.sql	5	1	1	1	2	0	13995
g5_write_new_casting_abio	tables/g5_write_new_casting_abio.sql	5	1	1	1	2	0	8348
g5_write_new_casting_bx	tables/g5_write_new_casting_bx.sql	5	1	1	1	2	0	8749
g5_write_new_counsel	tables/g5_write_new_counsel.sql	51	1	1	47	2	0	2892591
g5_write_new_counsel_2	tables/g5_write_new_counsel_2.sql	15	1	1	11	2	0	627297
g5_write_new_direct	tables/g5_write_new_direct.sql	10	1	1	6	2	0	309859
g5_write_new_direct2	tables/g5_write_new_direct2.sql	6	1	1	2	2	0	77164
g5_write_new_direct3	tables/g5_write_new_direct3.sql	7	1	1	3	2	0	152234
g5_write_new_direct_abio	tables/g5_write_new_direct_abio.sql	5	1	1	1	2	0	30240
